Theta\rho	1.0000	1.0102	1.0203	1.0304	1.0405	1.0506	1.0607	1.0708	1.0809	1.091	1.1011	1.1112	1.1213	1.1314	1.1415	1.1516	1.1617	1.1718	1.1819	1.192	1.2021	1.2122	1.2223	1.2324	1.2425	1.2526	1.2627	1.2728	1.2829	1.293	1.3031	1.3132	1.3233	1.3334	1.3435	1.3536	1.3637	1.3738	1.3839	1.394	1.4041	1.4142	1.4243	1.4344	1.4445	1.4546	1.4647	1.4748	1.4849	1.495	1.505	1.5151	1.5252	1.5353	1.5454	1.5555	1.5656	1.5757	1.5858	1.5959	1.606	1.6161	1.6262	1.6363	1.6464	1.6565	1.6666	1.6767	1.6868	1.6969	1.707	1.7171	1.7272	1.7373	1.7474	1.7575	1.7676	1.7777	1.7878	1.7979	1.808	1.8181	1.8282	1.8383	1.8484	1.8585	1.8686	1.8787	1.8888	1.8989	1.909	1.9191	1.9292	1.9393	1.9494	1.9595	1.9696	1.9797	1.9898	2.0000
0.7213	90.0	89.8816	89.5312	88.9486	88.134	87.0881	85.8124	84.3096	82.5845	80.6445	78.5001	76.1655	73.6588	71.0024	68.2224	65.3483	62.4116	59.4447	56.4798	53.5468	50.6729	47.8811	45.1899	42.6136	40.1617	37.8399	35.6505	33.593	31.6645	29.8609	28.1765	26.6053	25.1405	23.7755	22.5036	21.3182	20.213	19.1821	18.22	17.3213	16.4812	15.6952	14.9592	14.2694	13.6222	13.0145	12.4432	11.9057	11.3995	10.9223	10.4721	10.0469	9.6449	9.2646	8.9044	8.5631	8.2393	7.9319	7.6399	7.3622	7.0979	6.8463	6.6065	6.3778	6.1595	5.951	5.7519	5.5614	5.3792	5.2047	5.0375	4.8773	4.7237	4.5762	4.4346	4.2986	4.1679	4.0422	3.9213	3.8049	3.6928	3.5848	3.4807	3.3803	3.2835	3.1901	3.0998	3.0127	2.9285	2.8471	2.7684	2.6922	2.6185	2.5472	2.4782	2.4112	2.3464	2.2836	2.2226	2.1635	
0.8114	90.0	89.8948	89.5832	89.0653	88.3411	87.411	86.276	84.938	83.4002	81.6679	79.7484	77.6518	75.3913	72.9833	70.4474	67.8062	65.0849	62.31	59.5088	56.7084	53.934	51.2088	48.5529	45.9828	43.5113	41.148	38.8988	36.7669	34.7529	32.8557	31.0724	29.3989	27.8305	26.3618	24.9873	23.7014	22.4983	21.3726	20.319	19.3324	18.4081	17.5416	16.7288	15.9657	15.2487	14.5746	13.9401	13.3425	12.7792	12.2477	11.7458	11.2715	10.8228	10.398	9.9955	9.6139	9.2517	8.9077	8.5808	8.2698	7.9738	7.6918	7.423	7.1666	6.9219	6.6881	6.4646	6.2509	6.0464	5.8506	5.6629	5.4831	5.3105	5.1449	4.986	4.8332	4.6864	4.5452	4.4093	4.2785	4.1526	4.0312	3.9142	3.8014	3.6926	3.5876	3.4862	3.3882	3.2935	3.202	3.1135	3.0279	2.9451	2.8649	2.7873	2.712	2.6391	2.5685	2.4999	2.4335	
0.9015	90.0	89.9053	89.6249	89.1587	88.5069	87.6695	86.6473	85.4417	84.0549	82.4907	80.7544	78.8535	76.7976	74.5992	72.2733	69.8373	67.3113	64.7169	62.0772	59.4155	56.7548	54.1169	51.5218	48.9868	46.5267	44.1532	41.8751	39.6984	37.6267	35.6615	33.8022	32.0472	30.3936	28.8375	27.3748	26.0008	24.7106	23.4996	22.3627	21.2953	20.293	19.3513	18.4662	17.6338	16.8505	16.113	15.4179	14.7625	14.1441	13.56	13.0079	12.4858	11.9915	11.5233	11.0794	10.6582	10.2584	9.8784	9.5171	9.1733	8.846	8.534	8.2366	7.9528	7.6818	7.4229	7.1754	6.9386	6.712	6.495	6.287	6.0876	5.8963	5.7127	5.5364	5.3669	5.2041	5.0474	4.8967	4.7516	4.6118	4.4772	4.3473	4.2221	4.1013	3.9847	3.8722	3.7634	3.6583	3.5567	3.4585	3.3635	3.2715	3.1824	3.0962	3.0127	2.9317	2.8532	2.7771	2.7033	
0.9916	90.0	89.9139	89.659	89.2352	88.6425	87.8811	86.9514	85.8544	84.5918	83.1663	81.582	79.8443	77.9607	75.9406	73.7957	71.5398	69.1889	66.7606	64.2742	61.7497	59.2075	56.6675	54.1485	51.668	49.2411	46.881	44.5982	42.4008	40.2945	38.2832	36.3686	34.5509	32.8291	31.2009	29.6636	28.2137	26.8472	25.5601	24.3482	23.2073	22.1332	21.1218	20.1692	19.2717	18.4258	17.6279	16.8751	16.1643	15.4928	14.858	14.2574	13.6889	13.1503	12.6397	12.1553	11.6955	11.2587	10.8434	10.4484	10.0723	9.7141	9.3726	9.0469	8.736	8.4391	8.1553	7.884	7.6244	7.3759	7.1378	6.9096	6.6908	6.4809	6.2794	6.0858	5.8998	5.721	5.5489	5.3834	5.224	5.0705	4.9226	4.7799	4.6424	4.5097	4.3816	4.2579	4.1383	4.0229	3.9112	3.8032	3.6988	3.5977	3.4998	3.405	3.3132	3.2242	3.1379	3.0542	2.9731	
1.0816	90.0	89.9211	89.6874	89.2989	88.7555	88.0574	87.2049	86.1987	85.04	83.7309	82.2744	80.6748	78.9379	77.0708	75.083	72.9852	70.7905	68.5133	66.1698	63.7769	61.3524	58.9142	56.4798	54.0657	51.687	49.3573	47.0882	44.889	42.7674	40.7286	38.7764	36.9127	35.1381	33.4521	31.853	30.3387	28.9062	27.5523	26.2735	25.0662	23.9267	22.8511	21.836	20.8776	19.9727	19.118	18.3102	17.5466	16.8242	16.1406	15.4932	14.8798	14.2983	13.7465	13.2227	12.7251	12.2522	11.8023	11.3741	10.9664	10.5777	10.2072	9.8536	9.516	9.1934	8.8851	8.5902	8.308	8.0378	7.7789	7.5307	7.2926	7.0642	6.8448	6.6341	6.4316	6.2369	6.0496	5.8694	5.6958	5.5286	5.3674	5.212	5.0622	4.9176	4.778	4.6432	4.5129	4.3871	4.2654	4.1477	4.0338	3.9236	3.8169	3.7136	3.6135	3.5165	3.4224	3.3312	3.2427	
1.1717	90.0	89.9272	89.7114	89.3528	88.8512	88.2067	87.4196	86.4903	85.4197	84.2096	82.8622	81.3808	79.7699	78.0354	76.1845	74.2261	72.1708	70.0304	67.8185	65.5495	63.2389	60.9026	58.5562	56.2154	53.8946	51.6073	49.3655	47.1794	45.0576	43.0068	41.0321	39.1369	37.3234	35.5923	33.9433	32.3754	30.8867	29.4749	28.1371	26.8705	25.6718	24.5376	23.4648	22.45	21.49	20.5817	19.722	18.9081	18.1373	17.4069	16.7146	16.0579	15.4347	14.843	14.2809	13.7465	13.2383	12.7546	12.294	11.8551	11.4366	11.0374	10.6564	10.2924	9.9446	9.6121	9.2939	8.9893	8.6976	8.418	8.1499	7.8928	7.646	7.409	7.1813	6.9624	6.7519	6.5494	6.3545	6.1668	5.9859	5.8116	5.6436	5.4815	5.325	5.174	5.0281	4.8872	4.751	4.6193	4.4919	4.3686	4.2494	4.1339	4.022	3.9136	3.8086	3.7068	3.608	3.5122	
1.2618	90.0	89.9324	89.732	89.399	88.9332	88.3347	87.6036	86.7403	85.7456	84.6206	83.3672	81.988	80.4866	78.8677	77.1371	75.3021	73.3713	71.3547	69.2634	67.11	64.9078	62.6706	60.4128	58.1485	55.8915	53.6547	51.45	49.2881	47.1782	45.1278	43.1433	41.2292	39.3887	37.624	35.9359	34.3244	32.7887	31.3273	29.9382	28.6191	27.3674	26.1802	25.0546	23.9876	22.9764	22.018	21.1094	20.248	19.431	18.656	17.9205	17.2222	16.5589	15.9286	15.3293	14.7592	14.2166	13.6998	13.2075	12.7381	12.2904	11.8631	11.455	11.0652	10.6924	10.3359	9.9947	9.668	9.3551	9.0551	8.7673	8.4913	8.2263	7.9717	7.7271	7.492	7.2659	7.0482	6.8387	6.637	6.4426	6.2552	6.0745	5.9002	5.7319	5.5695	5.4126	5.261	5.1145	4.9728	4.8358	4.7032	4.5748	4.4506	4.3302	4.2136	4.1006	3.991	3.8847	3.7816	
1.3519	90.0	89.9369	89.7499	89.4391	89.0043	88.4457	87.7632	86.9572	86.0283	84.9773	83.8058	82.5158	81.1103	79.593	77.9688	76.2434	74.4242	72.5194	70.5386	68.4923	66.3921	64.2502	62.0793	59.8924	57.7022	55.5209	53.3602	51.2308	49.1421	47.1023	45.1183	43.1957	41.3388	39.5506	37.8331	36.1871	34.6129	33.1097	31.6765	30.3115	29.0127	27.7777	26.6042	25.4895	24.4309	23.4258	22.4714	21.5652	20.7046	19.8871	19.1104	18.3721	17.6702	17.0026	16.3673	15.7625	15.1865	14.6376	14.1143	13.6151	13.1387	12.6838	12.2493	11.8339	11.4366	11.0565	10.6927	10.3441	10.0101	9.6899	9.3827	9.088	8.8049	8.533	8.2716	8.0204	7.7787	7.546	7.3221	7.1063	6.8984	6.698	6.5047	6.3183	6.1383	5.9645	5.7966	5.6344	5.4776	5.326	5.1793	5.0374	4.9	4.767	4.6382	4.5133	4.3923	4.275	4.1612	4.0508	
1.442	90.0	89.9408	89.7655	89.4741	89.0666	88.5428	87.9029	87.1471	86.2758	85.2898	84.1902	82.9788	81.6579	80.2305	78.7007	77.0734	75.3546	73.5511	71.6712	69.7239	67.7192	65.6678	63.5811	61.4708	59.3484	57.2256	55.1135	53.0224	50.9619	48.9405	46.9656	45.0434	43.1789	41.376	39.6376	37.9654	36.3604	34.8228	33.3522	31.9475	30.6073	29.3299	28.1131	26.9549	25.8528	24.8044	23.8073	22.859	21.9572	21.0994	20.2834	19.507	18.7681	18.0645	17.3945	16.7561	16.1477	15.5675	15.014	14.4857	13.9813	13.4994	13.0388	12.5983	12.177	11.7737	11.3874	11.0174	10.6626	10.3224	9.996	9.6827	9.3818	9.0926	8.8147	8.5474	8.2902	8.0427	7.8044	7.5747	7.3534	7.1401	6.9343	6.7357	6.544	6.359	6.1802	6.0074	5.8403	5.6788	5.5226	5.3713	5.225	5.0832	4.9459	4.8128	4.6839	4.5588	4.4375	4.3199	
1.5321	90.0	89.9443	89.7793	89.5051	89.1215	88.6285	88.0261	87.3146	86.4943	85.5657	84.5298	83.388	82.1423	80.7951	79.3498	77.8105	76.1821	74.4707	72.6832	70.8272	68.9116	66.9458	64.9398	62.904	60.8493	58.7863	56.7254	54.6768	52.6497	50.6529	48.6938	46.7791	44.9146	43.1046	41.3527	39.6616	38.033	36.4676	34.9659	33.5274	32.1513	30.8363	29.5809	28.3832	27.2413	26.1531	25.1163	24.1287	23.1881	22.2923	21.4391	20.6263	19.8519	19.1139	18.4104	17.7396	17.0997	16.4891	15.9062	15.3496	14.8177	14.3094	13.8234	13.3584	12.9133	12.4871	12.0789	11.6876	11.3124	10.9525	10.607	10.2754	9.9568	9.6506	9.3562	9.073	8.8005	8.5382	8.2856	8.0422	7.8076	7.5813	7.3631	7.1525	6.9492	6.7529	6.5632	6.3799	6.2026	6.0312	5.8654	5.7049	5.5496	5.3991	5.2533	5.1121	4.9752	4.8424	4.7137	4.5888	
